Id,Prediction
17000,0
17001,0
17002,1
17003,1
17004,0
17005,1
17006,0
17007,0
17008,1
17009,1
17010,0
17011,0
17012,1
17013,1
17014,0
17015,1
17016,0
17017,1
17018,0
17019,0
17020,0
17021,0
17022,1
17023,0
17024,0
17025,1
17026,0
17027,1
17028,0
17029,1
17030,1
17031,1
17032,1
17033,0
17034,1
17035,0
17036,1
17037,1
17038,1
17039,1
17040,0
17041,1
17042,0
17043,1
17044,1
17045,0
17046,1
17047,0
17048,1
17049,0
17050,1
17051,0
17052,0
17053,1
17054,0
17055,0
17056,0
17057,0
17058,0
17059,1
17060,1
17061,0
17062,1
17063,0
17064,1
17065,1
17066,0
17067,0
17068,1
17069,0
17070,1
17071,0
17072,1
17073,0
17074,1
17075,1
17076,0
17077,0
17078,1
17079,0
17080,0
17081,0
17082,1
17083,0
17084,1
17085,0
17086,0
17087,1
17088,1
17089,1
17090,0
17091,1
17092,0
17093,1
17094,1
17095,1
17096,1
17097,0
17098,0
17099,0
17100,0
17101,1
17102,0
17103,0
17104,0
17105,0
17106,0
17107,1
17108,0
17109,0
17110,1
17111,0
17112,0
17113,0
17114,1
17115,0
17116,1
17117,1
17118,1
17119,0
17120,0
17121,1
17122,1
17123,1
17124,1
17125,0
17126,1
17127,1
17128,0
17129,0
17130,1
17131,1
17132,1
17133,0
17134,1
17135,1
17136,1
17137,0
17138,0
17139,1
17140,1
17141,0
17142,0
17143,0
17144,1
17145,0
17146,1
17147,1
17148,1
17149,0
17150,1
17151,0
17152,1
17153,0
17154,0
17155,1
17156,1
17157,1
17158,1
17159,1
17160,0
17161,1
17162,0
17163,1
17164,0
17165,1
17166,0
17167,0
17168,1
17169,1
17170,0
17171,1
17172,0
17173,0
17174,0
17175,0
17176,0
17177,0
17178,1
17179,1
17180,1
17181,1
17182,1
17183,1
17184,0
17185,1
17186,0
17187,0
17188,0
17189,1
17190,0
17191,0
17192,0
17193,0
17194,0
17195,1
17196,0
17197,1
17198,0
17199,0
17200,0
17201,1
17202,1
17203,1
17204,0
17205,1
17206,1
17207,1
17208,0
17209,1
17210,0
17211,0
17212,0
17213,1
17214,0
17215,1
17216,1
17217,0
17218,1
17219,1
17220,1
17221,1
17222,1
17223,0
17224,1
17225,1
17226,0
17227,0
17228,0
17229,0
17230,0
17231,1
17232,0
17233,1
17234,0
17235,1
17236,0
17237,1
17238,0
17239,0
17240,0
17241,0
17242,1
17243,0
17244,0
17245,1
17246,0
17247,1
17248,0
17249,1
17250,0
17251,0
17252,0
17253,1
17254,1
17255,0
17256,0
17257,0
17258,1
17259,1
17260,1
17261,0
17262,1
17263,0
17264,1
17265,1
17266,0
17267,0
17268,0
17269,1
17270,1
17271,0
17272,1
17273,0
17274,1
17275,1
17276,1
17277,0
17278,1
17279,1
17280,1
17281,0
17282,1
17283,1
17284,1
17285,0
17286,0
17287,0
17288,1
17289,0
17290,1
17291,1
17292,1
17293,0
17294,1
17295,0
17296,1
17297,0
17298,0
17299,0
17300,1
17301,0
17302,1
17303,0
17304,0
17305,0
17306,0
17307,0
17308,0
17309,0
