Id,Prediction
17000,0
17001,0
17002,0
17003,1
17004,1
17005,0
17006,0
17007,0
17008,0
17009,1
17010,1
17011,0
17012,0
17013,1
17014,0
17015,1
17016,0
17017,1
17018,0
17019,0
17020,0
17021,0
17022,0
17023,1
17024,0
17025,0
17026,0
17027,1
17028,1
17029,0
17030,1
17031,0
17032,0
17033,0
17034,1
17035,1
17036,1
17037,1
17038,0
17039,1
17040,0
17041,1
17042,0
17043,0
17044,1
17045,0
17046,0
17047,0
17048,0
17049,0
17050,0
17051,0
17052,1
17053,1
17054,1
17055,0
17056,1
17057,0
17058,1
17059,0
17060,1
17061,0
17062,1
17063,0
17064,0
17065,0
17066,1
17067,1
17068,1
17069,1
17070,1
17071,0
17072,1
17073,0
17074,0
17075,0
17076,1
17077,0
17078,0
17079,0
17080,1
17081,1
17082,1
17083,0
17084,0
17085,0
17086,0
17087,1
17088,0
17089,0
17090,1
17091,1
17092,1
17093,0
17094,1
17095,1
17096,1
17097,0
17098,0
17099,1
17100,1
17101,1
17102,1
17103,0
17104,1
17105,0
17106,0
17107,1
17108,1
17109,0
17110,1
17111,0
17112,0
17113,1
17114,0
17115,1
17116,0
17117,1
17118,0
17119,0
17120,1
17121,0
17122,1
17123,1
17124,0
17125,1
17126,1
17127,0
17128,0
17129,1
17130,0
17131,1
17132,0
17133,1
17134,1
17135,0
17136,0
17137,1
17138,0
17139,1
17140,1
17141,0
17142,0
17143,0
17144,1
17145,0
17146,0
17147,1
17148,1
17149,0
17150,0
17151,0
17152,0
17153,1
17154,0
17155,0
17156,1
17157,0
17158,1
17159,0
17160,1
17161,0
17162,0
17163,0
17164,1
17165,1
17166,0
17167,1
17168,0
17169,0
17170,1
17171,1
17172,0
17173,0
17174,0
17175,0
17176,0
17177,0
17178,1
17179,0
17180,0
17181,0
17182,0
17183,1
17184,0
17185,0
17186,1
17187,0
17188,1
17189,1
17190,1
17191,1
17192,0
17193,1
17194,1
17195,1
17196,1
17197,0
17198,0
17199,0
17200,0
17201,1
17202,1
17203,1
17204,1
17205,1
17206,1
17207,1
17208,1
17209,1
17210,0
17211,0
17212,1
17213,0
17214,1
17215,0
17216,0
17217,0
17218,0
17219,0
17220,1
17221,0
17222,1
17223,1
17224,0
17225,1
17226,1
17227,1
17228,1
17229,0
17230,1
17231,1
17232,1
17233,1
17234,0
17235,1
17236,0
17237,1
17238,1
17239,0
17240,0
17241,0
17242,1
17243,0
17244,0
17245,1
17246,0
17247,1
17248,0
17249,0
17250,0
17251,1
17252,0
17253,0
17254,1
17255,0
17256,0
17257,1
17258,0
17259,1
17260,1
17261,1
17262,1
17263,1
17264,0
17265,0
17266,0
17267,0
17268,1
17269,1
17270,0
17271,1
17272,1
17273,1
17274,0
17275,0
17276,0
17277,0
17278,0
17279,0
17280,1
17281,0
17282,1
17283,1
17284,1
17285,0
17286,1
17287,0
17288,1
17289,1
17290,1
17291,1
17292,0
17293,0
17294,0
17295,1
17296,0
17297,1
17298,1
17299,1
17300,1
17301,0
17302,1
17303,1
17304,0
17305,0
17306,0
17307,0
17308,0
17309,0
