Id,Prediction
17000,0
17001,1
17002,0
17003,0
17004,1
17005,1
17006,1
17007,1
17008,1
17009,1
17010,1
17011,0
17012,1
17013,0
17014,0
17015,1
17016,0
17017,1
17018,0
17019,0
17020,1
17021,1
17022,0
17023,0
17024,0
17025,0
17026,0
17027,1
17028,0
17029,1
17030,0
17031,1
17032,0
17033,0
17034,1
17035,0
17036,0
17037,0
17038,1
17039,1
17040,0
17041,0
17042,0
17043,1
17044,0
17045,0
17046,0
17047,0
17048,1
17049,0
17050,1
17051,0
17052,0
17053,1
17054,0
17055,0
17056,1
17057,0
17058,1
17059,1
17060,0
17061,0
17062,1
17063,1
17064,1
17065,0
17066,0
17067,1
17068,1
17069,1
17070,0
17071,0
17072,1
17073,0
17074,0
17075,1
17076,0
17077,0
17078,1
17079,0
17080,1
17081,1
17082,0
17083,1
17084,1
17085,1
17086,1
17087,1
17088,0
17089,0
17090,0
17091,1
17092,1
17093,0
17094,0
17095,0
17096,1
17097,0
17098,0
17099,0
17100,1
17101,1
17102,0
17103,1
17104,1
17105,1
17106,0
17107,1
17108,1
17109,1
17110,1
17111,0
17112,1
17113,1
17114,0
17115,1
17116,0
17117,1
17118,1
17119,0
17120,0
17121,1
17122,1
17123,1
17124,1
17125,1
17126,0
17127,1
17128,1
17129,1
17130,1
17131,0
17132,0
17133,0
17134,0
17135,1
17136,0
17137,1
17138,0
17139,1
17140,1
17141,0
17142,0
17143,1
17144,0
17145,0
17146,0
17147,0
17148,1
17149,0
17150,0
17151,0
17152,0
17153,0
17154,0
17155,1
17156,1
17157,0
17158,1
17159,0
17160,1
17161,1
17162,1
17163,1
17164,1
17165,1
17166,0
17167,0
17168,1
17169,0
17170,1
17171,0
17172,0
17173,0
17174,1
17175,0
17176,1
17177,1
17178,1
17179,0
17180,1
17181,1
17182,0
17183,1
17184,0
17185,1
17186,1
17187,0
17188,1
17189,0
17190,1
17191,0
17192,0
17193,1
17194,0
17195,1
17196,0
17197,1
17198,0
17199,1
17200,1
17201,0
17202,1
17203,0
17204,1
17205,1
17206,0
17207,1
17208,0
17209,1
17210,0
17211,0
17212,1
17213,0
17214,1
17215,1
17216,1
17217,0
17218,0
17219,1
17220,1
17221,0
17222,1
17223,1
17224,0
17225,1
17226,1
17227,0
17228,0
17229,0
17230,1
17231,1
17232,0
17233,1
17234,0
17235,0
17236,1
17237,1
17238,1
17239,1
17240,0
17241,0
17242,1
17243,0
17244,1
17245,1
17246,0
17247,0
17248,0
17249,0
17250,0
17251,0
17252,1
17253,1
17254,1
17255,1
17256,0
17257,1
17258,0
17259,1
17260,1
17261,1
17262,0
17263,0
17264,0
17265,1
17266,1
17267,0
17268,0
17269,0
17270,0
17271,1
17272,0
17273,1
17274,1
17275,1
17276,1
17277,1
17278,0
17279,0
17280,1
17281,1
17282,1
17283,1
17284,0
17285,0
17286,0
17287,1
17288,0
17289,1
17290,1
17291,1
17292,1
17293,0
17294,1
17295,1
17296,0
17297,0
17298,0
17299,0
17300,1
17301,0
17302,0
17303,1
17304,0
17305,0
17306,1
17307,0
17308,1
17309,0
17310,1
17311,0
17312,1
17313,1
17314,0
17315,1
17316,1
17317,0
17318,0
17319,0
17320,1
17321,1
17322,1
17323,1
17324,1
17325,1
17326,1
17327,1
17328,0
17329,1
17330,0
17331,0
17332,1
17333,1
17334,0
17335,0
17336,0
17337,0
17338,0
17339,0
17340,0
17341,1
17342,1
17343,0
17344,1
17345,1
17346,0
17347,1
17348,1
17349,0
17350,1
17351,0
17352,1
17353,0
17354,1
17355,1
17356,1
17357,1
17358,1
17359,0
17360,0
17361,1
17362,0
17363,1
17364,1
17365,1
17366,0
17367,1
17368,1
17369,1
17370,0
17371,1
17372,0
17373,0
17374,1
17375,1
17376,1
17377,0
17378,0
17379,1
17380,1
17381,0
17382,1
17383,1
17384,0
17385,0
17386,0
17387,1
17388,1
17389,0
17390,1
17391,1
17392,1
17393,1
17394,1
17395,1
17396,1
17397,0
17398,0
17399,1
17400,1
17401,1
17402,1
17403,0
17404,1
17405,1
17406,0
17407,1
17408,0
17409,0
17410,0
17411,0
17412,0
17413,0
17414,1
17415,1
17416,0
17417,1
17418,1
17419,1
17420,0
17421,0
17422,0
17423,1
17424,0
17425,1
17426,0
17427,1
17428,1
17429,0
17430,0
17431,0
17432,1
17433,0
17434,0
17435,0
17436,0
17437,1
17438,0
17439,1
17440,0
17441,1
17442,1
17443,0
17444,0
17445,0
17446,1
17447,1
17448,0
17449,1
17450,1
17451,1
17452,1
17453,0
17454,1
17455,1
17456,1
17457,1
17458,0
17459,1
17460,1
17461,1
17462,0
17463,1
17464,1
17465,0
17466,0
17467,0
17468,1
17469,1
17470,0
17471,1
17472,1
17473,1
17474,1
17475,0
17476,0
17477,1
17478,0
17479,1
17480,1
17481,1
17482,1
17483,1
17484,0
17485,0
17486,0
17487,0
17488,0
17489,0
17490,1
17491,1
17492,1
17493,0
17494,1
17495,1
17496,0
17497,1
17498,1
17499,1
17500,1
17501,0
17502,1
17503,1
17504,0
17505,1
17506,0
17507,0
17508,0
17509,1
17510,0
17511,0
17512,1
17513,1
17514,0
17515,0
17516,1
17517,1
17518,0
17519,1
17520,1
17521,0
17522,0
17523,1
17524,0
17525,0
17526,1
17527,1
17528,1
17529,0
17530,1
17531,1
17532,1
17533,1
17534,1
17535,0
17536,0
17537,1
17538,1
17539,0
17540,1
17541,0
17542,0
17543,1
17544,0
17545,0
17546,0
17547,0
17548,0
17549,0
17550,1
17551,1
17552,1
17553,0
17554,0
17555,0
17556,0
17557,0
17558,1
17559,0
17560,1
17561,0
17562,1
17563,1
17564,1
17565,1
17566,0
17567,1
17568,1
17569,1
17570,0
17571,0
17572,1
17573,0
17574,0
17575,1
17576,0
17577,0
17578,0
17579,0
17580,1
17581,0
17582,0
17583,0
17584,0
17585,1
17586,1
17587,0
17588,1
17589,1
17590,0
17591,0
17592,1
17593,1
18000,1
18001,1
18002,1
18003,0
18004,0
18005,1
18006,1
18007,1
18008,1
18009,1
18010,1
18011,1
18012,1
18013,0
18014,1
18015,1
18016,0
18017,0
18018,0
18019,0
18020,0
18021,1
18022,1
18023,1
18024,0
18025,0
18026,0
18027,1
18028,0
18029,0
18030,1
18031,0
18032,0
18033,0
18034,1
18035,0
18036,1
18037,1
18038,0
18039,0
18040,0
18041,1
18042,1
18043,1
18044,1
18045,1
18046,1
18047,0
18048,0
18049,0
18050,1
18051,1
18052,0
18053,0
18054,0
18055,1
18056,0
18057,1
18058,0
18059,1
18060,1
18061,1
18062,0
18063,0
18064,1
18065,1
18066,0
18067,0
18068,1
18069,1
18070,0
18071,0
18072,1
18073,0
18074,1
18075,1
18076,0
18077,1
18078,1
18079,0
18080,1
18081,1
18082,1
18083,0
18084,1
18085,0
18086,1
18087,0
18088,0
18089,1
18090,0
18091,1
18092,1
18093,1
18094,0
18095,0
18096,0
18097,1
18098,1
18099,0
18100,1
18101,0
18102,0
18103,0
18104,0
18105,1
18106,1
18107,0
18108,1
18109,0
18110,0
18111,0
18112,1
18113,0
18114,0
18115,0
18116,0
18117,1
18118,0
18119,0
18120,0
18121,0
18122,1
18123,0
18124,1
18125,0
18126,1
18127,1
18128,0
18129,0
18130,0
18131,1
18132,0
18133,0
18134,0
18135,1
18136,0
18137,0
18138,1
18139,0
18140,1
18141,0
18142,0
18143,0
18144,0
18145,0
18146,1
18147,1
18148,0
18149,0
18150,1
18151,1
18152,0
18153,1
18154,0
18155,1
18156,1
18157,1
18158,1
18159,1
18160,0
18161,0
18162,0
18163,1
18164,0
18165,0
18166,1
18167,0
18168,0
18169,0
18170,1
18171,1
18172,0
18173,0
18174,1
18175,0
18176,1
18177,0
18178,0
18179,1
18180,0
18181,1
18182,1
18183,1
18184,0
18185,1
18186,0
18187,1
18188,0
18189,0
18190,0
18191,0
18192,1
